Пак №,Карта1,Редкость1,Карта2,Редкость2,Карта3,Редкость3,Карта4,Редкость4,Карта5,Редкость5,Всего Пыли
1,Проклятый бродяга,COMMON,Ржавый сектант,COMMON,Акама,LEGENDARY,Тактика стаи,RARE,Пленный ган'арг,COMMON,435
2,Призрачное зрение,COMMON,Ткачиха мороза,COMMON,Корсарский тайник,RARE,Ловчая Драконьей Пасти,COMMON,Продавец щитов,COMMON,40
3,Жрица ярости,RARE,Пленный гомункул,COMMON,Норный скорпид,COMMON,Сбежавший стражник жути,COMMON,Пеплоуст-военачальник,COMMON,40
4,Охотничья уловка,COMMON,Расколотый грохотун,EPIC,Продавец щитов,COMMON,Заразный спорлинг,RARE,Пеплоуст-медиум,COMMON,135
5,Проклятый бродяга,COMMON,Болотный луч,COMMON,Громила Гуртогга,RARE,Верховная мать,COMMON,Костеглодка-налетчица,COMMON,40
6,Ловчая Драконьей Пасти,COMMON,Внезапный удар,RARE,Верховный абиссал,COMMON,Болотное порождение,COMMON,Навигатор Плавников Скверны,COMMON,40
7,Охотничья уловка,COMMON,Норный скорпид,COMMON,Костеглодка-налетчица,COMMON,Волдырный гнилостень,RARE,Сбежавший стражник жути,COMMON,40
8,Нестабильная Скверна,COMMON,Болотный луч,COMMON,Голем из хлама,RARE,Пленный мерзотень,COMMON,Длань А'дала,COMMON,40
9,Тактика стаи,RARE,Обжигающий жар,COMMON,Натрезим в доспехах,RARE,Ржавый адепт,COMMON,Щит и меч,COMMON,55
10,Пленный мерзотень,COMMON,Пленный ган'арг,COMMON,Самоуверенный орк,COMMON,Самоуверенный орк,COMMON,Часовая Драконьей Пасти,RARE,40
11,Колосс со свалки,RARE,Призрачное зрение,COMMON,Верховный абиссал,COMMON,Продавщица ракет,COMMON,Призывательница Скверны,COMMON,40
12,Пеплоуст-военачальник,COMMON,Костеглод-буян,COMMON,Звездная провидица,COMMON,Усиленный дикобраз,EPIC,Глубокая заморозка,RARE,135
13,Пленный хламобес,RARE,Нестабильная Скверна,COMMON,Шпионка,COMMON,Зловепрь,COMMON,Надзиратель Драконьей Пасти,RARE,55
14,Колосс со свалки,RARE,Мо'арг-механолог,EPIC,Призывательница Скверны,COMMON,Шиварра-мародер,COMMON,Щит и меч,COMMON,135
15,Темный портал,RARE,Навигатор Плавников Скверны,COMMON,Гонец Кровавой Печати,COMMON,Портал ветра Пустоты,COMMON,Ржавый адепт,COMMON,40
16,Костеглод с передовой,COMMON,Пленный сатир,COMMON,Пеплоуст-убийца,RARE,Пленные лучежабры,RARE,Прославление,COMMON,55
17,Портал: Змеиное святилище,COMMON,Ржавоциклистка,COMMON,Обновление,GOLDEN COMMON,Апекситовый заряд,EPIC,Подозрительный скиталец,COMMON,165
18,Подозрительный скиталец,COMMON,Часовая Драконьей Пасти,RARE,Пеплоуст-медиум,GOLDEN COMMON,Удочка Темносвета,EPIC,Пленный сатир,COMMON,180
19,Рука Гул'дана,COMMON,Шиварра-мародер,COMMON,Ржавоциклистка,COMMON,Обновление,COMMON,Пеплоуст-убийца,RARE,40
20,Пленные лучежабры,RARE,Звездная провидица,COMMON,Продавец эфира,COMMON,Алдор-служительница,COMMON,Грязные приемы,COMMON,40
21,Продавец эфира,COMMON,Живительные споры,RARE,Алдор-служительница,COMMON,Шпионка,COMMON,Бандитка с дубинкой,GOLDEN RARE,135
22,Манускрипт справедливости,COMMON,Волдырный гнилостень,RARE,Длань А'дала,COMMON,Гонец Кровавой Печати,COMMON,Продавщица ракет,COMMON,40
23,Удочка Темносвета,EPIC,Звездочет Солариан,LEGENDARY,Голем из хлама,RARE,Мок'наталская львица,RARE,Портал: Змеиное святилище,COMMON,545
24,Вихрь клинков,EPIC,Странница Пустоты,COMMON,Манускрипт справедливости,COMMON,Живительные споры,RARE,Колдовской поток,COMMON,135
25,Расколотый грохотун,EPIC,Странница Пустоты,COMMON,Прославление,COMMON,Портал ветра Пустоты,COMMON,Костеглод-буян,COMMON,120
26,Тотемное отражение,COMMON,Натрезим в доспехах,RARE,Обжигающий жар,COMMON,Буйство природы,COMMON,Тотемное отражение,COMMON,40
27,Колдовской поток,COMMON,Ткачиха мороза,COMMON,Пленный наблюдатель,RARE,Ржавый сектант,COMMON,Болотное порождение,COMMON,40
28,Буйство природы,COMMON,Рука Гул'дана,COMMON,Череп Гул'дана,RARE,Пленный сквернозуб,COMMON,Пленный гомункул,COMMON,40
29,Верховная мать,COMMON,Пленный сквернозуб,COMMON,Костеглод с передовой,COMMON,Зловепрь,COMMON,Почкование,RARE,40
30,Алдор-служительница,COMMON,Обновление,COMMON,Жрица ярости,RARE,Грязные приемы,COMMON,Пеплоуст-медиум,COMMON,40
31,Мок'наталская львица,RARE,Обновление,COMMON,Щит и меч,COMMON,Продавец эфира,COMMON,Болотное порождение,COMMON,40
32,Созерцательница тьмы,EPIC,Пеплоуст-военачальник,COMMON,Странница Пустоты,COMMON,Навигатор Плавников Скверны,COMMON,Надзиратель Драконьей Пасти,RARE,135
33,Пленный антеон,RARE,Нестабильная Скверна,COMMON,Гонец Кровавой Печати,COMMON,Подозрительный скиталец,COMMON,Алдор-служительница,COMMON,40
